№;Наименование;Регистрационный номер;Адрес (место нахождения);Регион регистрации;Вид деятельности/отрасль;Налоговый режим;2019, Доходы, RUB;2020, Доходы, RUB;2021, Доходы, RUB;2022, Доходы, RUB;2023, Доходы, RUB;2019, Расходы, RUB;2020, Расходы, RUB;2021, Расходы, RUB;2022, Расходы, RUB;2023, Расходы, RUB;2023, Налоги, RUB;2023, Земельный налог, RUB;2023, Налог на имущество, RUB;2023, Налог на прибыль, RUB;2023, Налог по УСН, RUB;2023, НДС, RUB;2023, Страховые взносы в ПФР, RUB;2023, Страховые взносы в ФОМС, RUB;2023, Страховые взносы в ФСС, RUB;2023, Нематериальные активы, RUB;2019, Основные средства , RUB;2020, Основные средства , RUB;2021, Основные средства , RUB;2022, Основные средства , RUB;2023, Основные средства , RUB;2023, Доходные вложения в материальные ценности, RUB;2023, Долгосрочные финансовые вложения, RUB;2023, Отложенные налоговые активы, RUB;2023, Прочие внеоборотные активы, RUB;2023, Внеоборотные активы, RUB;2023, Запасы, RUB;2019, Чистые активы, RUB;2020, Чистые активы, RUB;2021, Чистые активы, RUB;2022, Чистые активы, RUB;2023, Чистые активы, RUB;2023, НДС по приобретенным ценностям , RUB;2019, Дебиторская задолженность, RUB;2020, Дебиторская задолженность, RUB;2021, Дебиторская задолженность, RUB;2022, Дебиторская задолженность, RUB;2023, Дебиторская задолженность, RUB;2023, Краткосрочные финансовые вложения, RUB;2023, Денежные средства и денежные эквиваленты, RUB;2023, Прочие оборотные активы, RUB;2023, Оборотные активы, RUB;2023, Активы  всего, RUB;2023, Уставный капитал , RUB;2023, Собственные акции, выкупленные у акционеров, RUB;2023, Переоценка внеоборотных активов, RUB;2023, Добавочный капитал, RUB;2023, Резервный капитал, RUB;2019, Нераспределенная прибыль (непокрытый убыток), RUB;2020, Нераспределенная прибыль (непокрытый убыток), RUB;2021, Нераспределенная прибыль (непокрытый убыток), RUB;2022, Нераспределенная прибыль (непокрытый убыток), RUB;2023, Нераспределенная прибыль (непокрытый убыток), RUB;2023, Капитал и резервы, RUB;2019, Заёмные средства (долгосрочные), RUB;2020, Заёмные средства (долгосрочные), RUB;2021, Заёмные средства (долгосрочные), RUB;2022, Заёмные средства (долгосрочные), RUB;2023, Заёмные средства (долгосрочные), RUB;2023, Отложенные налоговые обязательства, RUB;2023, Прочие долгосрочные обязательства, RUB;2023, Долгосрочные обязательства, RUB;2019, Заёмные средства (краткосрочные), RUB;2020, Заёмные средства (краткосрочные), RUB;2021, Заёмные средства (краткосрочные), RUB;2022, Заёмные средства (краткосрочные), RUB;2023, Заёмные средства (краткосрочные), RUB;2019, Кредиторская задолженность, RUB;2020, Кредиторская задолженность, RUB;2021, Кредиторская задолженность, RUB;2022, Кредиторская задолженность, RUB;2023, Кредиторская задолженность, RUB;2023, Доходы будущих периодов , RUB;2023, Прочие краткосрочные обязательства, RUB;2023, Краткосрочные обязательства, RUB;2023, Пассивы всего, RUB;2023, Собственный оборотный капитал, RUB;2023, Собственный капитал, RUB;2023, Совокупный долг, RUB;2019, Выручка, RUB;2020, Выручка, RUB;2021, Выручка, RUB;2022, Выручка, RUB;2023, Выручка, RUB;2019, Себестоимость продаж, RUB;2020, Себестоимость продаж, RUB;2021, Себестоимость продаж, RUB;2022, Себестоимость продаж, RUB;2023, Себестоимость продаж, RUB;2023, Валовая прибыль (убыток), RUB;2023, Коммерческие расходы, RUB;2023, Управленческие расходы, RUB;2019, Прибыль (убыток) от продажи, RUB;2020, Прибыль (убыток) от продажи, RUB;2021, Прибыль (убыток) от продажи, RUB;2022, Прибыль (убыток) от продажи, RUB;2023, Прибыль (убыток) от продажи, RUB;2023, Доходы от участия в других организациях, RUB;2023, Проценты к получению, RUB;2023, Проценты к уплате, RUB;2023, Прочие доходы, RUB;2023, Прочие расходы, RUB;2023, Прибыль (убыток) до налогообложения , RUB;2023, Текущий налог на прибыль, RUB;2023, Чистая прибыль (убыток), RUB;2023, EBIT, RUB;2023, Поступления от текущих операций, RUB;2023, Поступления от продаж, RUB;2023, Поступления арендных, лицензионных, комиссионных платежей, роялти, RUB;2023, Поступления от перепродажи финансовых вложений, RUB;2023, Платежи по текущим операциям, RUB;2023, Платежи поставщикам и подрядчикам, RUB;2023, Оплата труда, RUB;2023, Оплата процентов по долговым обязательствам, RUB;2023, Налог на прибыль, RUB;2023, Сальдо денежных потоков от текущих операций, RUB;2023, Поступления от инвестиционных операций, RUB;2023, Продажа внеоборотных активов, RUB;2023, Продажа акций других организаций, RUB;2023, Поступления от возврата займов, продажи долговых ценных бумаг, RUB;2023, Получение дивидендов, процентов, RUB;2023, Платежи по инвестиционным операциям, RUB;2023, Приобретение внеоборотных активов, RUB;2023, Приобретение акций (долей участия), RUB;2023, Приобретение долговых ценных бумаг, предоставление займов, RUB;2023, Платежи по процентам, RUB;2023, Сальдо денежных потоков от инвестиционных операций, RUB;2023, Поступления от финансовых операций, RUB;2023, Получение кредитов и займов, RUB;2023, Поступление денежных вкладов собственников (участников), RUB;2023, Поступления от выпуска акций, увеличения долей участия, RUB;2023, Поступления от выпуска облигаций, векселей и других долговых ценных бумаг и др., RUB;2023, Платежи по финансовым операциям, RUB;2019, Выплата дивидендов, RUB;2020, Выплата дивидендов, RUB;2021, Выплата дивидендов, RUB;2022, Выплата дивидендов, RUB;2023, Выплата дивидендов, RUB;2023, Погашение векселей, возврат кредитов и займов, RUB;2023, Сальдо денежных потоков от финансовых операций, RUB;2023, Сальдо денежных потоков за отчетный период, RUB;2023, Поступление денежных средств всего, RUB;2023, Платежей всего, RUB;2023, Период погашения кредиторской задолженности, дни;2023, Оборачиваемость кредиторской задолженности, разы;2023, Период оборота запасов, дни;2023, Оборачиваемость запасов, разы;2023, Период погашения дебиторской задолженности, дни;2023, Оборачиваемость дебиторской задолженности, разы;2023, Оборачиваемость основных средств, разы;2023, Период оборота основных средств, дни;2023, Период оборота активов, дни;2023, Соотношение валовой прибыли к активам компании, %;2023, Cooтношение дебиторской задолженности к активам компании, %;2023, Доля рабочего капитала в активах компании, %;2023, Коэффициент оборачиваемости совокупных активов, %;2023, Коэффициент соотношения заемных и собственных средств, %;2023, Коэффициент покрытия процентов по EBIT, %;2023, Соотношение совокупного долга к капиталу, %;2023, Соотношение чистого долга к капиталу, %;2023, Соотношение совокупного долга к EBIT, %;2023, Коэффициент долгосрочного привлечения заемных средств, %;2023, Коэффициент концентрации собственного капитала (автономии), %;2023, Коэффициент маневренности собственных средств, %;2023, Коэффициент обеспеченности собственными оборотными средствами, %;2023, Коэффициент концентрации заемного капитала,%;2023, Чистая норма прибыли, %;2023, Коммерческие и управленческие расходы к выручке, %;2023, Валовая рентабельность, %;2023, Рентабельность продаж, %;2023, Валовая рентабельность затрат, %;2023, Валовая рентабельность коммерческих и управленческих расходов, %;2023, Рентабельность затрат, %;2023, Доля себестоимости как процент от выручки, %;2023, Рентабельность прибыли до налогообложения и процентов - (EBITM), %;2023, Рентабельность активов (ROA), %;2023, Рентабельность капитала (ROE), %;2023, Рентабельность активов (п. 1.6 ст.105.8 НК РФ), %;2023, Коэффициент текущей ликвидности, %;2023, Доля краткосрочной в общем объеме задолженности, %;2023, Коэффициент быстрой ликвидности, %;2023, Коэффициент абсолютной ликвидности, %
1;КРИСТАЛЛ, ООО;1085911000020;618400, Пермский кр., г. Березники, шоссе Чуртанское, д. 75;Пермский край;Деятельность гостиниц и прочих мест для временного проживания;;828 209 000;762 586 000;815 570 000;1 081 129 000;669 829 000;821 946 000;747 117 000;754 220 000;1 061 802 000;654 568 000;;;;;;;;;;;8 762 000;8 376 000;6 081 000;10 410 000;5 339 000;;;1 260 000;;6 599 000;15 809 000;5 358 000;16 930 000;61 340 000;72 833 000;26 667 000;;106 932 000;102 035 000;114 176 000;208 314 000;202 998 000;6 583 000;6 946 000;832 000;233 168 000;239 767 000;312 000;;;;;5 098 000;16 670 000;61 080 000;72 521 000;26 355 000;26 667 000;;;30 893 000;;;5 044 000;934 000;5 978 000;9 389 000;57 014 000;122 771 000;69 020 000;79 505 000;132 185 000;88 482 000;85 999 000;169 759 000;112 183 000;;1 381 000;207 122 000;239 767 000;112 189 000;26 667 000;213 100 000;771 318 000;730 118 000;750 590 000;1 058 824 000;620 750 000;451 713 000;447 130 000;485 593 000;726 756 000;388 920 000;231 830 000;111 588 000;108 698 000;28 792 000;23 443 000;10 504 000;38 037 000;11 544 000;;3 083 000;3 839 000;45 996 000;41 523 000;15 261 000;-3 486 000;11 540 000;16 017 000;640 209 000;615 475 000;;;666 860 000;258 481 000;328 970 000;2 861 000;77 000;-26 651 000;2 900 000;1 329 000;;500 000;1 071 000;8 488 000;1 008 000;;7 480 000;;-5 588 000;105 198 000;105 198 000;;;;103 093 000;;;15 000 000;;8 018 000;95 075 000;2 105 000;-30 134 000;748 307 000;778 441 000;132,30;4,40;17,90;20,40;121,00;3,00;78,80;4,60;172,00;96,69%;84,66%;10,86%;212,47%;799,12%;417,22%;298,14%;272,09%;496,38%;18,31%;11,12%;75,25%;8,61%;88,88%;1,86%;35,49%;37,35%;1,86%;59,61%;105,24%;1,89%;62,65%;1,34%;3,95%;23,20%;5,15%;112,58%;100,00%;104,94%;6,53%
2;ПЕРМТУРИСТ, ООО;1195958034304;614000, Пермский кр., г. Пермь, ул. Ленина, д. 58 офис 202 (Бизнес-центр «Любимов»);Пермский край;Деятельность гостиниц и прочих мест для временного проживания;;231 001 000;130 237 000;222 313 000;233 085 000;375 051 000;221 188 000;152 578 000;179 970 000;181 008 000;255 504 000;;;;;;;;;;355 000;84 004 000;79 938 000;76 759 000;89 638 000;89 769 000;;;65 000;10 000;90 199 000;5 206 000;74 626 000;55 721 000;65 442 000;83 784 000;110 048 000;1 754 000;9 062 000;5 819 000;7 587 000;46 558 000;29 022 000;;40 415 000;30 621 000;107 018 000;197 216 000;406 000;;;;61 000;57 652 000;38 788 000;64 883 000;83 224 000;109 489 000;109 956 000;;;;49 906 000;42 791 000;14 208 000;;56 999 000;13 000 000;22 064 000;3 000 000;4 064 000;38 000;22 635 000;22 320 000;20 624 000;17 829 000;26 747 000;92 000;;30 261 000;197 216 000;47 896 000;110 048 000;87 260 000;228 922 000;123 262 000;201 139 000;231 615 000;373 124 000;190 865 000;133 883 000;162 109 000;160 002 000;231 432 000;141 692 000;;4 520 000;28 024 000;-15 637 000;33 619 000;65 359 000;137 172 000;;1 322 000;1 258 000;605 000;18 294 000;119 547 000;-25 282 000;94 265 000;119 483 000;371 444 000;362 805 000;;;258 204 000;133 357 000;101 744 000;1 203 000;18 247 000;113 240 000;1 863 000;;;1 863 000;;3 486 000;1 673 000;;1 813 000;;-1 623 000;912 000;;;;;82 486 000;10 274 000;1 044 000;24 228 000;27 358 000;71 289 000;11 197 000;-81 574 000;30 043 000;374 219 000;344 176 000;35,15;16,70;10,40;35,20;37,00;9,90;4,20;87,80;178,00;71,85%;14,72%;38,92%;205,32%;79,29%;9 497,85%;38,95%;2,20%;35,85%;34,12%;55,80%;17,95%;18,55%;44,25%;25,26%;1,21%;37,97%;36,76%;61,22%;3 134,78%;58,14%;62,03%;31,35%;51,87%;97,36%;110,31%;353,65%;0,09%;336,45%;133,55%
3;ГАММА, ООО;1165958093751;614077, Пермский кр., г. Пермь, бульвар Гагарина, д. 65А кв. офис 206 (Бизнес-центр «Кэпитал»);Пермский край;Деятельность гостиниц и прочих мест для временного проживания;УСН;141 040 000;91 523 000;194 302 000;203 587 000;264 598 000;136 644 000;82 406 000;148 675 000;167 255 000;220 211 000;;;;;;;;;;;42 150 000;42 918 000;41 082 000;39 900 000;38 051 000;;;;;38 051 000;2 231 000;9 318 000;17 627 000;61 308 000;95 735 000;133 309 000;;93 323 000;93 200 000;122 341 000;145 671 000;183 757 000;;986 000;;186 974 000;225 025 000;;;;;;;;;;;133 309 000;100 289 000;94 295 000;85 990 000;77 145 000;68 462 000;;;68 462 000;8 949 000;12 922 000;14 010 000;11 343 000;12 062 000;18 675 000;13 940 000;4 626 000;6 131 000;11 192 000;;;23 254 000;225 025 000;175 782 000;133 309 000;91 716 000;113 777 000;79 524 000;185 285 000;188 443 000;252 759 000;103 028 000;70 899 000;136 293 000;152 967 000;203 676 000;;;;10 749 000;8 625 000;48 992 000;35 476 000;49 083 000;;;8 745 000;11 839 000;7 790 000;44 387 000;6 749 000;37 638 000;53 132 000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15,52;29,20;4,70;78,20;238,00;1,50;6,50;56,30;300,00;;81,66%;72,76%;121,70%;68,80%;100,00%;60,40%;59,66%;920,80%;33,93%;59,24%;71,46%;50,95%;40,76%;14,89%;;;19,42%;;;24,10%;80,58%;-3,46%;18,12%;32,87%;;804,05%;14,98%;794,46%;4,24%
4;ПИЛВАР, ООО;1185958020060;614095, Пермский кр., г. Пермь, ул. Мира, д. 45Б офис 17, этаж 2;Пермский край;Деятельность гостиниц и прочих мест для временного проживания;;159 880 000;92 091 000;159 819 000;162 627 000;210 968 000;150 850 000;97 617 000;140 958 000;147 510 000;171 517 000;;;;;;;;;;;345 000;246 000;270 000;407 000;430 000;;;;;430 000;4 353 000;9 332 000;5 344 000;22 324 000;35 459 000;38 390 000;;22 406 000;10 868 000;14 148 000;14 821 000;16 544 000;25 461 000;2 860 000;387 000;49 605 000;50 035 000;10 000;;;;;9 322 000;5 334 000;22 314 000;35 449 000;38 380 000;38 390 000;;;;;;;;;;13 286 000;;;;34 389 000;22 755 000;34 840 000;9 878 000;11 645 000;;;11 645 000;50 035 000;12 112 000;38 390 000;11 645 000;159 169 000;86 859 000;144 601 000;160 058 000;207 088 000;37 851 000;23 010 000;34 686 000;37 549 000;45 860 000;161 228 000;26 473 000;96 550 000;10 983 000;-8 996 000;13 878 000;14 861 000;38 205 000;;2 371 000;;1 509 000;2 634 000;39 451 000;-8 984 000;30 461 000;37 080 000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;85,65;19,20;7,50;48,90;28,00;13,20;494,80;0,70;84,00;322,23%;33,06%;75,87%;434,27%;30,33%;;;-7,45%;;;76,73%;98,88%;76,52%;23,27%;14,71%;59,41%;77,85%;18,45%;351,57%;131,06%;22,62%;22,15%;17,91%;63,88%;82,50%;179,14%;425,98%;;388,60%;243,20%
5;ЛОТОС, ООО;1225900019476;614000, Пермский край, г.о. Пермский, г Пермь, ул Монастырская, д. 43, офис 15;Пермский край;Деятельность гостиниц и прочих мест для временного проживания;УСН;;;;0;169 381 000;;;;87 000;162 959 000;;;;;;;;;;;;;;30 147 000;30 012 000;;;;;30 012 000;2 170 000;;;;29 921 000;35 503 000;;;;;;13 143 000;;4 587 000;;19 900 000;49 912 000;;;;;;;;;-87 000;;35 503 000;;;;50 000;;;;;;;;;1 700 000;;;;191 000;12 579 000;;130 000;14 409 000;49 912 000;7 191 000;35 503 000;14 409 000;;;;;168 527 000;;;;;59 783 000;;;;;;;;108 744 000;;;;854 000;103 176 000;6 422 000;840 000;5 582 000;6 422 000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;38,98;26,40;2,30;155,30;14,00;25,60;5,60;65,10;87,00;;26,33%;11,00%;420,93%;40,59%;;4,79%;-8,13%;;;71,13%;15,47%;27,59%;28,87%;3,31%;;;64,53%;;;181,90%;35,47%;;13,94%;17,06%;;138,11%;100,00%;123,05%;31,83%
6;ОТЕЛЬ ПРИКАМЬЕ, АО;1025900507764;614015, Пермский кр., г. Пермь, проспект Комсомольский, д. 27;Пермский край;Деятельность гостиниц и прочих мест для временного проживания;УСН;55 365 000;50 933 000;84 862 000;111 901 000;150 779 000;53 253 000;51 891 000;67 323 000;112 473 000;136 181 000;;;;;;;;;;;6 892 000;9 105 000;9 142 000;7 761 000;8 849 000;;;;;8 849 000;2 740 000;14 122 000;13 176 000;30 085 000;28 930 000;39 045 000;;2 419 000;4 118 000;5 229 000;6 252 000;34 240 000;;7 222 000;;44 202 000;53 052 000;;;;;;10 226 000;9 031 000;26 182 000;25 034 000;;39 045 000;;;;;;;;;;10 745 000;;;;2 406 000;5 562 000;5 997 000;6 636 000;4 459 000;;9 548 000;14 007 000;53 052 000;30 195 000;39 045 000;14 007 000;55 338 000;47 861 000;77 252 000;96 753 000;148 503 000;52 193 000;50 861 000;66 191 000;109 946 000;134 306 000;;;;3 145 000;-3 000 000;11 061 000;-13 193 000;14 197 000;;;;2 276 000;1 875 000;14 598 000;4 483 000;10 115 000;14 598 000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15,08;26,80;5,60;65,00;80,00;4,50;17,90;20,40;124,00;;64,54%;56,92%;295,48%;35,87%;;;-18,50%;;;73,60%;77,34%;68,31%;26,40%;6,81%;;;9,56%;;;10,57%;90,44%;;20,13%;29,76%;;315,57%;;296,01%;51,56%
7;НЬЮ СТАР, ООО;1145958084601;614000, Пермский кр., г. Пермь, ул. Газеты Звезда, д. 38Б;Пермский край;Деятельность гостиниц и прочих мест для временного проживания;УСН;77 525 000;63 208 000;103 443 000;111 972 000;138 284 000;75 624 000;64 520 000;91 486 000;105 347 000;133 299 000;;;;;;;;;;;9 604 000;7 742 000;7 246 000;9 394 000;20 263 000;;;;;20 263 000;3 308 000;23 963 000;22 044 000;33 008 000;38 498 000;42 112 000;;6 428 000;3 567 000;17 251 000;16 566 000;17 137 000;5 393 000;3 374 000;372 000;29 584 000;49 847 000;10 000;;;;;23 953 000;22 034 000;32 998 000;38 488 000;42 102 000;42 112 000;;9 566 000;6 711 000;4 261 000;5 700 000;;;5 700 000;;;;;;7 316 000;3 320 000;3 471 000;2 941 000;2 035 000;;;2 035 000;49 847 000;21 784 000;42 112 000;7 735 000;77 268 000;58 262 000;92 491 000;107 407 000;135 436 000;51 426 000;41 203 000;68 956 000;80 339 000;95 408 000;40 028 000;;36 676 000;3 546 000;-4 843 000;2 198 000;4 335 000;3 352 000;;386 000;69 000;2 462 000;1 146 000;4 985 000;;3 614 000;4 668 000;130 856 000;130 505 000;;;126 355 000;93 157 000;22 040 000;70 000;;4 501 000;7 342 000;;;7 000 000;;13 869 000;13 869 000;;;;-6 527 000;6 900 000;6 900 000;;;;5 461 000;;;;;;5 461 000;1 439 000;-587 000;145 098 000;145 685 000;9,52;54,40;8,20;44,50;45,00;8,00;9,10;40,00;129,00;80,30%;34,38%;55,27%;283,50%;18,37%;6 765,22%;13,54%;5,52%;122,11%;11,92%;84,48%;51,88%;73,85%;15,52%;2,67%;27,08%;29,55%;2,47%;41,95%;109,14%;2,54%;70,45%;3,34%;7,56%;8,97%;8,23%;1 453,76%;;1 291,20%;430,81%
8;УЭСК, ООО;1145958051128;617763, Пермский кр., г. Чайковский, ул. Вокзальная, д. 23 кв. 101;Пермский край;Деятельность гостиниц и прочих мест для временного проживания;;35 815 000;64 274 000;82 674 000;83 619 000;134 522 000;33 083 000;56 614 000;72 481 000;65 934 000;93 902 000;;;;;;;;;;;1 491 000;5 380 000;16 629 000;15 341 000;18 382 000;;;;;18 382 000;19 441 000;8 173 000;14 205 000;21 737 000;36 355 000;69 084 000;3 000;10 608 000;15 921 000;13 628 000;9 351 000;22 517 000;;15 597 000;;57 558 000;75 940 000;10 000;;;;;8 163 000;14 194 000;21 727 000;36 345 000;69 074 000;69 084 000;;645 000;13 668 000;;;;1 554 000;1 554 000;;;;;;10 594 000;10 877 000;7 936 000;6 532 000;5 302 000;;;5 302 000;75 940 000;52 253 000;69 084 000;6 856 000;35 735 000;64 126 000;81 900 000;82 946 000;133 035 000;29 471 000;47 816 000;50 250 000;48 056 000;72 246 000;60 789 000;5 101 000;15 924 000;2 714 000;8 534 000;15 255 000;18 735 000;39 764 000;;;;1 487 000;631 000;40 620 000;-7 801 000;32 729 000;40 620 000;133 206 000;125 331 000;;;123 694 000;88 727 000;13 264 000;;10 675 000;9 512 000;;;;;;;;;;;;;;;;;;;;;;;;;9 512 000;133 206 000;123 694 000;29,89;22,50;43,30;8,40;44,00;8,30;7,90;46,30;163,00;80,05%;29,65%;68,81%;223,91%;9,92%;;;-22,58%;;2,20%;90,97%;73,39%;88,09%;9,03%;24,60%;15,80%;45,69%;29,89%;84,14%;289,13%;42,63%;54,31%;30,53%;55,09%;62,08%;65,90%;1 085,59%;;718,92%;294,17%
9;СИТИ СТАР, ООО;1125902000575;614000, Пермский кр., г. Пермь, ул. Монастырская, д. 14А;Пермский край;Деятельность гостиниц и прочих мест для временного проживания;УСН;62 693 000;32 074 000;72 815 000;92 282 000;129 557 000;59 709 000;40 188 000;66 999 000;87 438 000;121 709 000;;;;;;;;;;;3 141 000;2 250 000;1 370 000;1 959 000;1 938 000;;;;;1 938 000;1 768 000;20 767 000;12 345 000;17 422 000;21 231 000;27 796 000;;7 269 000;1 027 000;2 795 000;5 473 000;2 026 000;59 238 000;10 175 000;8 000;73 215 000;75 153 000;10 000;;;;;20 757 000;12 335 000;17 412 000;21 221 000;27 786 000;27 796 000;186 000;186 000;186 000;50 186 000;43 724 000;;;43 724 000;2 600 000;3 479 000;1 480 000;1 465 000;1 465 000;1 158 000;2 016 000;1 341 000;2 330 000;2 168 000;;;3 633 000;75 153 000;11 801 000;27 796 000;47 357 000;62 341 000;30 464 000;71 904 000;87 778 000;125 620 000;41 816 000;23 102 000;49 349 000;65 963 000;95 552 000;30 068 000;;22 385 000;3 216 000;-4 001 000;5 798 000;2 411 000;7 683 000;;2 231 000;1 448 000;1 706 000;2 324 000;7 848 000;-1 283 000;6 565 000;7 065 000;121 701 000;121 186 000;;;112 190 000;69 351 000;14 137 000;1 448 000;1 290 000;9 511 000;12 783 000;;;12 783 000;;8 904 000;831 000;;8 073 000;;3 879 000;;;;;;6 461 000;;;;;;6 461 000;-6 461 000;6 929 000;134 484 000;127 555 000;8,59;55,90;4,40;82,20;11,00;33,50;64,50;5,70;218,00;40,01%;2,70%;92,59%;167,09%;170,37%;487,91%;162,57%;125,97%;639,62%;61,14%;36,99%;93,03%;35,32%;63,01%;5,23%;17,82%;23,94%;6,12%;31,47%;134,32%;6,51%;76,06%;3,32%;8,73%;26,78%;134,04%;2 015,28%;3,24%;1 966,61%;1 910,62%
10;СТАЛАГМИТ, ООО;1215900019170;617470, Пермский край, м.о. Кунгурский, с Филипповка, тер. Сталагмит туркомплекс, д. 2;Пермский край;Деятельность гостиниц и прочих мест для временного проживания;УСН;46 289 000;26 767 000;7 871 000;94 295 000;103 677 000;45 405 000;31 617 000;14 323 000;92 097 000;93 480 000;;;;;;;;;;;21 413 000;20 572 000;22 209 000;21 819 000;22 684 000;;;;;22 684 000;2 622 000;21 882 000;16 052 000;10 153 000;12 000 000;17 441 000;;13 196 000;13 043 000;17 240 000;17 014 000;12 853 000;1 070 000;766 000;9 000;17 320 000;40 004 000;12 120 000;;;;;9 762 000;3 932 000;-1 967 000;-913 000;4 528 000;16 648 000;;;;;;;;;2 268 000;10 193 000;10 193 000;1 868 000;1 868 000;10 915 000;9 189 000;21 306 000;28 319 000;20 695 000;793 000;;23 356 000;40 004 000;-4 454 000;17 441 000;23 356 000;46 156 000;24 468 000;7 089 000;86 585 000;88 551 000;35 134 000;22 412 000;11 800 000;77 018 000;76 058 000;12 493 000;;14 794 000;1 966 000;-4 725 000;-6 965 000;-2 964 000;-2 301 000;;27 000;;15 099 000;2 628 000;10 197 000;-936 000;9 261 000;10 170 000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;117,61;3,60;8,20;44,50;62,00;5,90;4,00;91,70;169,00;31,23%;32,13%;-15,09%;215,48%;133,91%;;11,22%;6,62%;18,37%;;43,60%;-34,61%;-30,27%;58,38%;10,46%;16,71%;14,11%;-2,60%;16,43%;84,45%;-2,53%;85,89%;11,48%;22,54%;66,49%;-6,03%;74,16%;100,00%;62,93%;7,86%
